time,x,y,height
1770963180.834945,579.5839233398438,122.50477600097656,-151.18695068359375
1770963180.895909,578.2758178710938,121.91464233398438,-150.38467407226562
1770963180.9608693,576.7127075195312,120.77243041992188,-148.83189392089844
1770963181.0238304,576.74169921875,120.9710464477539,-149.10189819335938
1770963181.0897884,577.0712280273438,121.24700164794922,-149.47705078125
1770963181.1557481,577.1337280273438,121.2905502319336,-149.5362548828125
1770963181.218711,577.2979125976562,121.42658233642578,-149.72119140625
1770963181.2866676,577.3643798828125,121.46736145019531,-149.77662658691406
1770963181.3486295,577.5882568359375,121.62358093261719,-149.98899841308594
1770963181.4092307,577.4769897460938,121.60472869873047,-149.96336364746094
1770963181.475188,577.6541137695312,121.67407989501953,-150.05764770507812
1770963181.5400693,578.0324096679688,121.87399291992188,-150.3294219970703
1770963181.609005,578.6267700195312,122.23348236083984,-150.81813049316406
1770963181.6752024,579.1866455078125,122.51837158203125,-151.20542907714844
1770963181.7331672,579.6395263671875,122.76408386230469,-151.53945922851562
1770963181.7941291,580.2501220703125,123.08541107177734,-151.97628784179688
1770963181.8530936,580.7501220703125,123.35726928710938,-152.3458709716797
1770963181.910058,581.7123413085938,123.9070053100586,-153.0932159423828
1770963181.975019,582.235107421875,124.16409301757812,-153.44271850585938
1770963182.0369816,583.205078125,124.70989227294922,-154.18470764160156
1770963182.102941,584.026611328125,125.11991119384766,-154.7421112060547
1770963182.1669018,584.2804565429688,125.2454605102539,-154.9127960205078
1770963182.23146,584.345947265625,125.30809783935547,-154.99794006347656
1770963182.2934217,584.78125,125.59313201904297,-155.38543701171875
1770963182.3570442,584.8193359375,125.65233612060547,-155.46592712402344
1770963184.1443834,585.2142944335938,125.89022064208984,-155.789306640625
1770963184.2053442,585.2136840820312,125.89966583251953,-155.80215454101562
1770963184.269305,585.4292602539062,126.00387573242188,-155.94381713867188
1770963184.3292682,585.1551513671875,125.93815612792969,-155.85447692871094
1770963184.3892314,585.1061401367188,125.84619903564453,-155.72946166992188
1770963184.4507694,584.8792114257812,125.73087310791016,-155.57269287109375
1770963184.5117328,584.6636962890625,125.64563751220703,-155.45681762695312
1770963184.5736945,584.4783325195312,125.60929870605469,-155.40740966796875
1770963184.6356566,584.5003051757812,125.67536926269531,-155.4972381591797
1770963184.6946204,584.0616455078125,125.48429870605469,-155.23748779296875
1770963184.7555814,583.528564453125,125.16583251953125,-154.80453491210938
1770963184.8175433,583.4979248046875,125.26563262939453,-154.94021606445312
1770963184.8775063,583.6732177734375,125.44820404052734,-155.18841552734375
1770963184.9394684,583.6409912109375,125.36090087890625,-155.06973266601562
1770963184.9984338,583.7698364257812,125.41078186035156,-155.13754272460938
1770963185.0573976,583.8499145507812,125.4153060913086,-155.14369201660156
1770963185.11536,583.9078979492188,125.41246032714844,-155.1398162841797
1770963185.1723251,584.2778930664062,125.63780975341797,-155.4461669921875
1770963185.22929,584.772216796875,125.98927307128906,-155.92396545410156
1770963185.287255,585.2021484375,126.17222595214844,-156.1726837158203
1770963185.344221,585.1867065429688,126.08660125732422,-156.05628967285156
1770963185.4017475,585.4915161132812,126.341796875,-156.40321350097656
1770963185.4617107,585.706787109375,126.36446380615234,-156.43402099609375
1770963185.5186756,585.7457275390625,126.32296752929688,-156.3776092529297
